datum,partei,rolling_average,sz_err,ci_higher,ci_lower
2012-07-17,CDU/CSU,0.353405582922824,0.0236160328407225,0.377021615763547,0.329789550082102
2012-07-17,SPD,0.286702791461412,0.022354144499179,0.309056935960591,0.264348646962233
2012-07-17,Grüne,0.136702791461412,0.016945894909688,0.1536486863711,0.119756896551724
2012-07-17,FDP,0.0465944170771757,0.0105409720853859,0.0571353891625616,0.0360534449917898
2012-07-17,Linke,0.0567027914614121,0.0113485123152709,0.0680513037766831,0.0453542791461412
2012-07-24,CDU/CSU,0.35,0.0236870909090909,0.373687090909091,0.326312909090909
2012-07-24,CDU/CSU,0.35,0.0236870909090909,0.373687090909091,0.326312909090909
2012-07-24,CDU/CSU,0.35,0.0236870909090909,0.373687090909091,0.326312909090909
2012-07-24,CDU/CSU,0.35,0.0236870909090909,0.373687090909091,0.326312909090909
2012-07-24,SPD,0.296677685950413,0.0226611074380165,0.31933879338843,0.274016578512397
2012-07-24,SPD,0.296677685950413,0.0226611074380165,0.31933879338843,0.274016578512397
2012-07-24,SPD,0.296677685950413,0.0226611074380165,0.31933879338843,0.274016578512397
2012-07-24,SPD,0.296677685950413,0.0226611074380165,0.31933879338843,0.274016578512397
2012-07-24,Grüne,0.136677685950413,0.0170104297520661,0.153688115702479,0.119667256198347
2012-07-24,Grüne,0.136677685950413,0.0170104297520661,0.153688115702479,0.119667256198347
2012-07-24,Grüne,0.136677685950413,0.0170104297520661,0.153688115702479,0.119667256198347
2012-07-24,Grüne,0.136677685950413,0.0170104297520661,0.153688115702479,0.119667256198347
2012-07-24,FDP,0.04,0.00973606611570248,0.0497360661157025,0.0302639338842975
2012-07-24,FDP,0.04,0.00973606611570248,0.0497360661157025,0.0302639338842975
2012-07-24,FDP,0.04,0.00973606611570248,0.0497360661157025,0.0302639338842975
2012-07-24,FDP,0.04,0.00973606611570248,0.0497360661157025,0.0302639338842975
2012-07-24,Linke,0.06,0.0117952396694215,0.0717952396694215,0.0482047603305785
2012-07-24,Linke,0.06,0.0117952396694215,0.0717952396694215,0.0482047603305785
2012-07-24,Linke,0.06,0.0117952396694215,0.0717952396694215,0.0482047603305785
2012-07-24,Linke,0.06,0.0117952396694215,0.0717952396694215,0.0482047603305785
2012-08-02,CDU/CSU,0.35,0.0236106903353057,0.373610690335306,0.326389309664694
2012-08-02,SPD,0.303392504930966,0.0227130867850099,0.326105591715976,0.280679418145957
2012-08-02,Grüne,0.143392504930966,0.0172543786982249,0.160646883629191,0.126138126232742
2012-08-02,FDP,0.0466962524654832,0.0103387968441815,0.0570350493096647,0.0363574556213018
2012-08-02,Linke,0.06,0.0117537376725838,0.0717537376725838,0.0482462623274162
2012-08-07,CDU/CSU,0.356677685950413,0.0237739008264463,0.380451586776859,0.332903785123967
2012-08-07,SPD,0.296677685950413,0.0226611074380165,0.31933879338843,0.274016578512397
2012-08-07,Grüne,0.143355371900826,0.0173042479338843,0.160659619834711,0.126051123966942
2012-08-07,FDP,0.04,0.00973606611570248,0.0497360661157025,0.0302639338842975
2012-08-07,Linke,0.06,0.0117952396694215,0.0717952396694215,0.0482047603305785
2012-08-14,CDU/CSU,0.35,0.0235753097345133,0.373575309734513,0.326424690265487
2012-08-14,SPD,0.296705998033432,0.0225577876106195,0.319263785644051,0.274148210422812
2012-08-14,Grüne,0.13,0.0166188692232055,0.146618869223205,0.113381130776795
2012-08-14,FDP,0.0467059980334317,0.0103227925270403,0.057028790560472,0.0363832055063913
2012-08-14,Linke,0.06,0.0117360668633235,0.0717360668633235,0.0482639331366765
